ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj
WBGene00003165,65.23234323,-0.76962617,0.313115887,6.011139107,0.014215848,0.061898902,0.586569446,1.208317053
WBGene00003166,74.19209613,-0.084164677,0.309011575,0.074179372,0.785346069,0.874712307,0.943330568,0.058134763
WBGene00003167,18.53154132,1.077597843,0.769007393,1.938651868,0.163814987,0.331500443,2.110519037,0.479515887
WBGene00003168,10.349501,-0.509886979,0.83790446,0.368739816,0.543691979,0.70396164,0.702277452,0.152451006
WBGene00003169,294.1740794,-0.791114037,0.271885246,8.372215628,0.003810008,0.022755214,0.577897672,1.642919078
WBGene00003170,47.14236124,0.562097595,0.650861996,0.742676184,0.388804947,0.569126207,1.476414278,0.244791416
WBGene00003171,208.1049522,-0.288842977,0.21047405,1.880409778,0.170287581,0.338375561,0.818558269,0.470601011
WBGene00003172,458.2213193,0.276302368,0.320185104,0.743698325,0.388478742,0.568790027,1.211086883,0.245048027
WBGene00003173,33.31239476,-1.286298791,0.564964289,5.0658842,0.024401254,0.09232041,0.410001533,1.034702277
WBGene00003174,19.34224569,-0.221133743,0.538213353,0.168660535,0.681304986,0.802682542,0.857890997,0.095456183
WBGene00003175,352.1250234,-0.790100795,0.197350654,15.87369808,6.77E-05,0.000798301,0.578303687,3.097833337
WBGene00003177,2043.83663,-0.408575982,0.065748298,38.53877838,5.37E-10,2.30E-08,0.75336662,7.637349891
WBGene00003178,185.86578,-0.819421684,0.30075572,7.341519216,0.006737987,0.03546957,0.566669051,1.450144077
WBGene00003179,33.39189225,-1.083661811,0.481257248,5.010573097,0.025192966,0.094333644,0.471829716,1.025333391
WBGene00003182,208.7162534,-0.364539538,0.176303834,4.269433344,0.038803869,0.128007512,0.776716738,0.892764544
WBGene00003183,3422.185551,0.115760824,0.120898453,0.916679785,0.338348265,0.521612012,1.083546317,0.282652416
WBGene00003184,4039.583846,-0.007643925,0.125281373,0.003725526,0.951329672,0.973132257,0.994715647,0.011828131
WBGene00003185,1553.268301,0.018789251,0.167871901,0.012530481,0.910871274,0.950586534,1.013108894,0.022008342
WBGene00003186,1359.544678,-0.100029893,0.098184748,1.037648155,0.30836908,0.493745764,0.933013659,0.306496618
WBGene00003196,3265.843998,0.105602064,0.096659458,1.19328265,0.274668406,0.458939692,1.075943308,0.33824438
WBGene00003209,5437.679178,-0.212236906,0.103211038,4.225009305,0.039832401,0.130263219,0.863197801,0.885178193
WBGene00003210,6499.53599,-0.013434709,0.097248616,0.019085085,0.890122837,0.939034386,0.990730994,0.027318504
WBGene00003214,6268.911149,-0.548892962,0.091781328,35.56492495,2.47E-09,8.90E-08,0.683544439,7.050421314
WBGene00003216,1959.501207,-0.203498955,0.171755867,1.402812089,0.236253302,0.417088656,0.868441783,0.379771622
WBGene00003218,4593.322105,-0.211052032,0.105312399,4.013059786,0.045149143,0.14174523,0.863907029,0.848491547
